,TimeStamp,Open,High,Low,Close,Volume,TurnOver
2022-01-01,1640995200,1.0,10.0,1.0,2.0,100.0,0.0
2022-01-02,1641081600,2.0,10.0,1.0,4.0,100.0,0.0
2022-01-03,1641168000,4.0,10.0,1.0,4.0,100.0,0.0
2022-01-04,1641254400,4.0,10.0,1.0,4.0,100.0,0.0
2022-01-05,1641340800,4.0,10.0,1.0,5.0,100.0,0.0
2022-01-06,1641427200,5.0,10.0,1.0,5.0,100.0,0.0
2022-01-07,1641513600,5.0,10.0,1.0,7.0,100.0,0.0
2022-01-08,1641600000,7.0,10.0,1.0,9.0,100.0,0.0
2022-01-09,1641686400,9.0,10.0,1.0,9.0,100.0,0.0

